,game_date,game_id,home_name,away_name,total_goals,final_goal_diff,streak_changes,max_streak,last_streak,lead_changes,tied_not_led,max_winner_lead,max_loser_lead
3884,2023-10-12,2023020013,Dallas Stars,St. Louis Blues,0.026785714285714284,0.029642857142857144,0.7967857142857143,0.030714285714285715,0.2175,0.2910714285714286,0.9407142857142857,0.12392857142857143,0.2910714285714286
4235,2023-10-12,2023020012,New Jersey Devils,Detroit Red Wings,0.66,0.22428571428571428,0.7967857142857143,0.23142857142857143,0.2175,0.7396428571428572,0.74,0.37785714285714284,0.7346428571428572
4552,2023-10-12,2023020014,Minnesota Wild,Florida Panthers,0.026785714285714284,0.4907142857142857,0.05357142857142857,0.23142857142857143,0.5575,0.2910714285714286,0.29214285714285715,0.37785714285714284,0.2910714285714286
4866,2023-10-12,2023020015,Nashville Predators,Seattle Kraken,0.08714285714285715,0.7139285714285715,0.05357142857142857,0.5682142857142857,0.7653571428571428,0.2910714285714286,0.29214285714285715,0.6471428571428571,0.2910714285714286
5151,2023-10-12,2023020016,San Jose Sharks,Vegas Golden Knights,0.33321428571428574,0.7139285714285715,0.3985714285714286,0.5682142857142857,0.7653571428571428,0.2910714285714286,0.74,0.6471428571428571,0.2910714285714286
5471,2023-10-13,2023020017,New Jersey Devils,Arizona Coyotes,0.49892857142857144,0.029642857142857144,0.3985714285714286,0.5682142857142857,0.7653571428571428,0.9385714285714286,0.29214285714285715,0.37785714285714284,0.7346428571428572
5803,2023-10-13,2023020018,Washington Capitals,Pittsburgh Penguins,0.18428571428571427,0.8864285714285715,0.05357142857142857,0.8207142857142857,0.8939285714285714,0.2910714285714286,0.29214285714285715,0.8514285714285714,0.2910714285714286
6123,2023-10-14,2023020031,Vegas Golden Knights,Anaheim Ducks,0.33321428571428574,0.7139285714285715,0.3985714285714286,0.5682142857142857,0.2175,0.2910714285714286,0.29214285714285715,0.6471428571428571,0.2910714285714286
6473,2023-10-14,2023020021,Boston Bruins,Nashville Predators,0.33321428571428574,0.22428571428571428,0.6185714285714285,0.23142857142857143,0.2175,0.7396428571428572,0.74,0.12392857142857143,0.7346428571428572
6814,2023-10-14,2023020027,New York Islanders,Buffalo Sabres,0.33321428571428574,0.22428571428571428,0.3985714285714286,0.23142857142857143,0.2175,0.2910714285714286,0.74,0.37785714285714284,0.2910714285714286
